Player,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA
"Coleman-Jones, Callum",9,44,33,53,97,11,5,71,18,4,8,6,20,7,10,1,54,49,11,12,19,,1
"Arnot, Matt",9,46,18,47,93,5,5,,37,5,15,10,16,9,6,,49,47,1,4,10,,2
"OHanlon, Brett",9,42,24,30,72,2,5,,14,,16,2,7,4,2,,15,59,1,2,5,1,1
"Poyas, Ezra",9,35,15,18,53,6,1,,5,3,13,1,10,1,3,,17,34,3,4,8,6,
"Livingstone, Tim",8,86,20,23,109,1,2,,15,,,,,20,8,,,,,,,,
"Thornton, Ron",8,71,15,26,97,6,3,,,,,,,6,6,,,,,,,,
"Murrie, Richard",8,56,15,35,91,,,1,,,,,,24,8,,,,,,,,
"Mrakov, John",8,60,23,31,91,,1,1,4,,,,,11,8,,,,,,,,
"McAuliffe, Kane",8,31,4,59,90,,2,,22,2,17,16,18,5,4,,43,51,,,5,,2
"Campbell, Blair",8,73,15,10,83,12,8,,,,,,,13,9,2,,,,,,,
"Morrison, Shane",8,46,38,36,82,3,1,4,7,2,11,1,6,7,2,,20,63,2,3,24,,3
"Moore, Callum",8,44,28,29,73,5,9,3,20,,15,,18,3,9,,35,44,6,13,16,3,4
"Sullivan, Chris",8,31,8,25,56,4,2,,8,,,,,2,7,,,,,,,,
"Walford, Bill",8,48,10,6,54,1,,,,,,,,7,6,,,,,,,,
"Hollands, Ben",8,28,17,14,42,5,,,5,3,13,7,5,2,1,,19,26,2,6,10,,
"Orchard, Ray",8,25,10,4,29,2,2,1,,,,,,1,1,,,,,,,,
"Thiessen, James",7,83,21,34,117,3,8,,4,,,,,5,6,,,,,,,,
"Crebbin, Tom",7,71,18,35,106,3,4,,,,,,,10,5,,,,,,,,
"Judd, Wayne",7,81,16,16,97,9,8,1,,,,,,26,26,1,,,,,,,
"Feltham, Paul",7,75,12,18,93,8,2,,,,,,,8,6,,,,,,,,
"Parkes, Gary",7,67,14,19,86,6,3,,,,,,,12,12,,,,,,,,
"Miels, Brenton",7,70,16,13,83,1,,,,,,,,12,12,,,,,,,,
"Considine, Craig",7,55,6,20,75,1,1,,,,,,,10,4,,,,,,,,
"Williams, Peter",7,39,9,32,71,1,,,,,,,,12,13,,,,,,,,
"Ednie, Craig",7,30,15,39,69,3,2,,12,3,6,13,6,8,,,39,32,3,4,16,2,
"Stephenson, Orren",7,27,18,38,65,,1,149,15,4,3,15,10,2,5,,34,31,5,1,21,,2
"Weller, Luke",7,39,25,25,64,3,5,,9,4,14,3,11,2,4,,26,34,5,6,19,2,
"Mattson, Don",7,30,11,20,50,,2,,,,,,,7,7,,,,,,,,
"Ferguson, John",7,35,6,12,47,,,2,,,,,,5,4,,,,,,,,
"Marsh, Ben",7,19,16,24,43,1,,73,5,2,7,12,11,6,6,,22,20,4,1,12,,
"Cowie, Darryl",7,25,16,17,42,1,,5,4,,,,,9,6,1,,,,,,,
"Knights, Chris",6,57,26,33,90,7,5,3,11,7,14,5,13,2,5,,23,68,1,4,4,,1
"Martin, Geoff",6,52,9,38,90,3,1,,,,,,,11,10,,,,,,,,
"Sutton, Darryl",6,42,20,36,78,,,,,,,,,20,15,,,,,,,,
"Bowden, Sean",6,58,20,18,76,,5,,5,,,,,2,7,,,,,,,,
"Young, Cory",6,48,9,25,73,1,3,,15,,,,,11,12,,,,,,,,
"Jackson, Francis",6,63,14,6,69,,1,,,,,,,11,9,,,,,,,,
"Conlan, Greg",6,41,18,20,61,3,1,,,,,,,2,3,,,,,,,,
"Brewer, Ross",6,33,24,18,51,8,10,1,,,,,,5,9,,,,,,,,
"Grinter, Barry",6,28,13,22,50,,,1,,,,,,13,7,,,,,,,,
"Teasdale, Graham",6,40,24,10,50,16,7,,,,,,,12,8,,,,,,,,
"Koschitzke, Jacob",6,28,20,20,48,5,1,33,11,1,9,5,10,7,3,,30,23,11,9,19,,2
"Fletcher, Simon",6,23,9,23,46,,1,,12,6,7,10,4,3,1,,22,24,,,8,1,1
"Manfield, Matthew",6,15,5,15,30,2,4,2,2,,3,,,1,2,,,,,,,,
"Stockdale, Mark",6,20,14,7,27,2,3,9,6,,,,,5,11,,,,,,,,
"Moore, Andrew",5,40,13,49,89,1,,,20,2,8,8,16,5,8,,30,58,1,1,6,,1
"Borchard, Ian",5,41,14,45,86,2,3,,,,,,,7,5,,,,,,,,
"Parsons, Steve",5,54,11,19,73,1,1,,,,,,,6,17,,,,,,,,
"Ablett, Kevin",5,59,15,13,72,,1,1,,,,,,11,10,,,,,,,,
"Oborne, Rod",5,42,13,17,59,7,6,,,,,,,6,10,,,,,,,,
"Eishold, Simon",5,40,10,19,59,,2,1,3,,,,,6,4,,,,,,,,
"Silvester, Jarrod",5,36,22,22,58,,,,6,12,2,,11,4,7,,19,37,2,,28,,
"Walker, Robert",5,30,15,20,50,,,1,1,,,,,3,,,,,,,,,
"Miller, David",5,31,12,18,49,7,4,,,,,,,3,4,,,,,,,,
"Morrison, Paul",5,41,10,8,49,2,,,,,,,,5,7,,,,,,,,
"ODwyer, Steven",5,20,16,27,47,,1,41,1,,,,,8,8,,,,,,,,
"Peters, Wayne",5,37,16,10,47,1,5,,5,,,,,4,2,,,,,,,,
"Drummond, Nathan",5,17,15,27,44,2,1,,20,2,6,2,2,5,1,,16,27,2,1,2,1,
"McBean, Liam",5,24,17,17,41,1,4,1,8,,4,2,5,2,2,,20,21,3,4,7,,1
"Semmens, Robert",5,22,3,14,36,,1,,,,,,,7,3,,,,,,,,
"Craig, Ian",5,29,3,5,34,,,,,,,,,5,2,,,,,,,,
"Coulthard, Matthew",5,20,7,12,32,2,2,,6,1,7,5,3,4,,,14,18,,1,3,2,1
"Bayes, Gavin",5,24,10,8,32,2,2,1,,,,,,5,4,,,,,,,,
"Kershaw, Kim",5,19,9,13,32,,,52,,,,,,8,6,,,,,,,,
"Haynes, Ben",5,7,4,7,14,,2,,1,,3,1,1,,,,5,8,,,,,
"Thomson, Adam",4,26,9,34,60,1,1,2,18,2,12,15,2,8,2,,28,31,,2,8,,1
"Lockman, Michael",4,36,7,23,59,,,,,,,,,4,3,,,,,,,,
"Gourdis, David",4,22,21,35,57,,,,3,12,1,,3,1,2,,17,39,1,,27,1,
"Fuller, Robert",4,41,6,13,54,1,1,,,,,,,5,5,,,,,,,,
"Fox, Brad",4,32,6,21,53,,1,,7,,,,,10,4,,,,,,,,
"Lovell, Noel",4,27,5,19,46,,2,,,,,,,4,4,,,,,,,,
"OReilly, Jamie",4,21,12,24,45,,,,1,5,4,4,8,4,5,,12,33,,,3,1,1
